YEAR,COMPANY,MARKET CAP (in B USD),REVENUE (in B USD),P/E RATIO,GROSS PROFIT (in B USD),PROFIT MARGIN,ROA,ROE,ROI,EPS,EBITDA (in B USD),SH EQUITY (in B USD),CF OPERATING (in B USD),CF INVESTING (in B USD),CF FINANCIAL ACT (in B USD),NET INCOME (in B USD),CURRENT RATIO,DEBT/EQUITY RATIO,FREE CASHFLOW PER SHARE,RETURN ON TANGIBLE EQUITY,NUMBER OF EMPLOYEES,INFLATION RATE (IN US)
2020,APPLE,2255,274.52,35.5,104.956,20.90%,17.31%,87.87%,80.71%,3.74,77.344,65.339,80.674,4.29,86.82,57.411,1.36,3.96,4.19,147.44%,"147,000",1.40%
2021,APPLE,2901,365.82,29.2,152.836,25.20%,22.91%,150.07%,33.81%,6.08,120.233,63.090,104.038,14.55,93.35,94.680,1.07,4.56,5.51,175.46%,"154,000",7.00%
2022,APPLE,2066,394.33,21.9,170.782,25.50%,28.86%,196.96%,-26.51%,5.92,130.541,50.672,122.151,22.35,110.75,99.803,0.88,5.96,6.83,171.95%,"164,000",6.50%
2023,APPLE,2994,383.29,29.8,169.148,23.97%,29.39%,156.08%,48.61%,6.46,125.820,62.146,110.543,3.71,108.49,96.995,0.99,4.67,6.3,157.41%,"161,000",3.40%
2024,APPLE,3789,391.04,37.3,180.683,24.30%,27.91%,164.59%,34.46%,6.31,134.661,56.950,118.254,2.94,121.98,93.736,0.92,5.41,7.06,234.94%,"164,000",2.90%
,,,,,,,,,,,,,,,,,,,,,,
2020,MICROSOFT,1501,143.015,32.8,96.937,30.90%,16.32%,37.43%,15.42%,5.82,65.755,118.3,0.06,0.012,0.046,44.281,2.52,0.58,5.89,73.51%,"163,000",1.40%
2021,MICROSOFT,1997,168.088,35.5,115.856,36.50%,18.44%,43.15%,19.64%,8.12,81.602,141.9,0.076,0.027,0.048,61.271,2.08,0.47,7.38,80.41%,"181,000",7.00%
2022,MICROSOFT,1844,198.270,26.6,135.620,36.60%,21.40%,43.68%,21.00%,9.7,97.843,166.5,0.089,0.030,0.058,72.738,1.78,0.39,8.64,84.48%,"221,000",6.50%
2023,MICROSOFT,2211,211.915,33.9,146.052,34.30%,19.33%,35.09%,19.25%,9.72,102.384,166.5,0.087,0.022,0.043,72.361,1.77,0.36,7.96,66.79%,"221,000",3.40%
